"FDR"	"mz_ml_files/A1"	"mz_ml_files/A2"	"mz_ml_files/A3"	"mz_ml_files/B1"	"mz_ml_files/B2"	"mz_ml_files/B3"	"mz_ml_files/C1"	"mz_ml_files/C2"	"mz_ml_files/C3"	"mz_ml_files/D1"	"mz_ml_files/D2"	"mz_ml_files/D3"
"HPRR4320639"	1.0	1.0	1.0	1.0	0.94727278	1.0	1.0	1.0	1.0	0.95485461	1.0	1.0
"HPRR3700338"	1.0	2.434779e-09	7.5644966e-09	0.029106833	0.1509013	0.026075726	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320637"	0.88228446	0.96752417	1.0	1.0	1.0	0.96907789	0.83776027	1.0	0.99179858	1.0	1.0	1.0
"HPRR4320636"	1.0	1.0	1.0	1.0	1.0	0.93869889	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320635"	0.91051322	0.96810657	1.0	0.96500844	0.94727278	0.96924508	1.0	1.0	0.9400242	1.0	1.0	1.0
"HPRR4320634"	1.0	1.0	0.9966653	1.0	0.83884531	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320633"	1.0	0.96870989	0.9966653	1.0	0.94727278	1.0	1.0	1.0	0.88663006	1.0	1.0	1.0
"HPRR4320632"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320631"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320630"	1.0	0.96870989	1.0	0.97713053	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320295"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320294"	0.99168921	1.0	1.0	0.97713053	0.94727278	1.0	1.0	1.0	0.99179858	1.0	1.0	1.0
"HPRR4320297"	0.97443455	0.91465807	0.96221614	0.9628979	0.87698275	0.89711577	1.0	0.96817678	0.89293152	1.0	1.0	1.0
"HPRR4320296"	1.0	1.0	0.99302483	0.97713053	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320291"	1.0	1.0	0.9966653	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320562"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320561"	1.0	1.0	1.0	1.0	0.94727278	1.0	1.0	1.0	0.99159217	1.0	1.0	1.0
"HPRR4320560"	1.0	1.0	0.9966653	1.0	1.0	1.0	0.99496436	1.0	0.99179858	1.0	1.0	1.0
"HPRR4320299"	1.0	0.96870989	0.9966653	0.97713053	0.94727278	0.96924508	1.0	1.0	0.99179858	1.0	1.0	1.0
"HPRR4320298"	1.0	1.0	1.0	1.0	1.0	0.96774274	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320569"	1.0	1.0	0.9966653	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320568"	1.0	1.0	0.99098676	0.97713053	1.0	0.96924508	1.0	1.0	0.98424369	1.0	1.0	1.0
"HPRR2310049"	0.31718794	0.37692994	0.28557029	1.0	0.94727278	1.0	0.30572823	0.43179777	0.41889054	1.0	1.0	0.97754842
"HPRR4350081"	0.072961122	0.077211432	0.10498959	0.11106438	0.099130481	0.053277504	1.0	0.89602441	1.0	1.0	1.0	1.0
"HPRR4500051"	1.0	0.00062023586	0.0092163272	1.0	1.0	0.94034588	1.0	1.0	0.95783371	1.0	1.0	1.0
"HPRR4320181"	1.0	0.96870989	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320180"	1.0	1.0	0.82818228	0.914819	1.0	0.96577328	0.82163036	1.0	1.0	1.0	1.0	1.0
"HPRR4320183"	1.0	1.0	1.0	1.0	1.0	1.0	0.95034611	0.96430987	0.99178952	1.0	0.90240109	1.0
"HPRR4320182"	1.0	1.0	1.0	1.0	0.94727278	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320185"	0.26635686	0.9520579	0.83786649	0.97713053	0.94727278	0.96924508	0.91284633	0.97322083	0.97434533	1.0	1.0	1.0
"HPRR4320184"	1.0	1.0	0.9966653	1.0	0.94727278	1.0	0.92047876	1.0	1.0	1.0	0.98994786	1.0
"HPRR4320187"	1.0	0.935902	1.0	1.0	1.0	1.0	1.0	0.97477263	1.0	1.0	1.0	1.0
"HPRR4320186"	1.0	1.0	1.0	0.97713053	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.90724868
"HPRR4320189"	1.0	1.0	1.0	0.72736424	1.0	1.0	1.0	0.96563733	0.93427849	1.0	1.0	0.89968848
"HPRR4320188"	0.97957009	0.96443969	1.0	1.0	1.0	1.0	0.78744119	0.71460551	0.80999029	1.0	1.0	1.0
"HPRR4320369"	1.0	0.90363181	0.9966653	1.0	1.0	1.0	1.0	0.9387477	1.0	1.0	1.0	1.0
"HPRR4320368"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320361"	0.85271257	1.0	0.9966653	1.0	1.0	1.0	0.92460161	0.52733004	0.98549259	1.0	0.91416842	0.95229995
"HPRR3790306"	0.99275249	0.00021526373	0.9966653	0.038906287	0.058481231	0.05572341	1.0	0.97686034	0.99179858	1.0	1.0	1.0
"HPRR4320363"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320362"	1.0	1.0	1.0	1.0	0.94727278	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320365"	1.0	1.0	1.0	0.97713053	0.94727278	0.96924508	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320364"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320367"	1.0	1.0	0.99318308	0.97697961	0.94727278	0.9427793	0.99526644	1.0	0.98413467	1.0	1.0	1.0
"HPRR4320366"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9600746	1.0	1.0	1.0	1.0
"HPRR4320169"	1.0	1.0	1.0	1.0	1.0	0.96924508	1.0	0.97409266	1.0	1.0	1.0	1.0
"HPRR4320168"	1.0	1.0	0.71458381	1.0	1.0	1.0	1.0	0.95422107	1.0	1.0	1.0	1.0
"HPRR4320163"	1.0	0.88238353	0.98530787	0.97713053	1.0	0.96924508	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320162"	1.0	1.0	0.9966653	0.79351801	1.0	1.0	1.0	1.0	0.99179858	1.0	1.0	1.0
"HPRR4320161"	0.96182412	0.92722952	0.99655646	1.0	0.94727278	1.0	1.0	1.0	0.91808164	1.0	1.0	1.0
"HPRR4320160"	0.99576795	1.0	1.0	1.0	1.0	0.96924508	1.0	0.97648543	1.0	1.0	1.0	1.0
"HPRR4320167"	0.99663484	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.50976616	0.9026975
"HPRR4320166"	1.0	0.94700038	0.97176838	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320165"	0.69566637	1.0	0.64426619	1.0	0.94727278	0.64918345	0.44695804	0.64342213	0.59225816	1.0	0.98384875	0.38893941
"HPRR4320164"	1.0	1.0	0.97548354	0.97450143	1.0	0.96924508	0.95228672	0.8777023	1.0	1.0	1.0	0.56239402
"HPRR2441086"	0.00037857227	0.00011166848	0.00099902763	0.0055829273	0.002568247	0.62318391	0.0037264121	8.1444741e-05	0.0015503012	1.0	1.0	1.0
"HPRR2990033"	4.0470713e-06	7.0698508e-07	8.4110134e-06	1.6057365e-05	7.2103285e-06	6.4479194e-05	1.0	0.00032391082	2.1893568e-07	1.0	1.0	1.0
"HPRR3780091"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4220485"	1.0	1.0	1.0	0.059531122	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320317"	0.36291707	1.0	1.0	0.97713053	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR3920052"	1.672822e-10	0.00057862158	2.4796714e-09	1.0026507e-05	2.2300508e-06	7.4902324e-08	1.0	1.0	0.98722678	1.0	1.0	1.0
"HPRR3760008"	1.4828742e-08	0.018360436	0.0075727403	3.5216463e-10	6.3468852e-10	8.7288227e-10	0.0044834963	1.0	1.0	1.0	1.0	1.0
"HPRR1951788"	0.99711847	0.0020956623	0.082248226	0.14254971	0.94727278	0.00030804583	0.91879863	0.92031604	0.99179858	1.0	1.0	1.0
"HPRR1470130"	0.072738089	0.28322321	0.024599995	0.025862524	0.090043269	0.047783449	0.081278995	0.1530741	0.0011130676	0.67081273	1.0	1.0
"HPRR3450023"	1.0	1.0	1.0	0.95493084	1.0	3.07681e-05	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR3450022"	5.3259434e-08	8.917263e-08	2.7803219e-07	1.0	0.94669867	1.0	5.1494711e-09	3.4244982e-10	2.1744364e-09	1.0	1.0	1.0
"HPRR4390367"	0.00048913906	0.036210325	0.015017042	0.032703493	0.048447102	0.042416085	0.0095544877	0.058384854	0.015600937	1.0	1.0	1.0
"HPRR2390061"	0.00291953	0.00025286412	1.130328e-05	0.0045166542	0.0026173214	0.0025674452	0.20482136	0.091581315	0.00079376815	1.0	1.0	0.89647418
"HPRR4340099"	1.0	1.0	1.0	0.97713053	0.94727278	0.96924508	0.78402954	1.0	1.0	1.0	1.0	1.0
"HPRR4420088"	1.0	1.0	1.0	1.0	1.0	0.054732531	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4340098"	1.0	0.96870989	1.0	0.97713053	0.94727278	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4110155"	0.001435686	0.00096048898	0.0064883619	0.005839	0.0024800531	0.001942186	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4340091"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR3720352"	0.00080824463	0.00040789915	6.2675746e-05	0.0043367436	0.01595567	0.12251315	0.98796576	9.5054524e-09	2.3390835e-07	0.95628637	2.2221579e-05	1.0
"HPRR4340092"	1.0	0.46793789	1.0	1.0	1.0	1.0	1.0	0.70020777	1.0	1.0	1.0	1.0
"HPRR4340097"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR2050032"	7.5826458e-05	4.0726256e-05	1.0	1.0	0.94845539	1.0	0.00010343835	0.00018899373	0.00033737681	0.16065413	0.23154631	0.33373281
"HPRR4450069"	1.0	1.0	1.0	1.2241881e-05	1.0	8.8537865e-07	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR3730168"	0.021753181	0.027487051	0.016697416	0.039907396	0.019223319	0.021801269	0.029289057	0.024945356	0.037730623	1.0	1.0	0.91302699
"HPRR3880146"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR2890041"	0.0037018105	0.88140446	0.0064797136	1.0	1.0	1.0	0.0038236831	0.011740127	0.9101994	1.0	1.0	1.0
"HPRR1370013"	0.058322787	0.043535359	0.045353647	0.07775256	0.023865931	0.063927665	0.045793455	0.023596548	0.023146786	1.0	1.0	1.0
"HPRR4320628"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320629"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320624"	0.96264374	0.96870989	1.0	1.0	1.0	1.0	1.0	0.95389891	0.99179858	1.0	1.0	1.0
"HPRR4320625"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320626"	1.0	1.0	1.0	0.97713053	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320627"	0.97887522	0.52289838	0.58768201	0.62420607	0.59402263	0.68201649	0.56828439	0.64279586	0.58240521	1.0	0.93772388	1.0
"HPRR4320620"	1.0	0.96870989	1.0	0.97713053	1.0	0.96924508	0.99650472	1.0	0.99179858	1.0	1.0	1.0
"HPRR4320621"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR3890559"	0.99955535	0.0002070764	1.0	6.0976672e-05	1.0	2.5725446e-06	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320623"	1.0	1.0	0.9966653	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320574"	1.0	0.96360129	1.0	1.0	1.0	1.0	1.0	1.0	0.99100596	1.0	1.0	1.0
"HPRR4320575"	0.92878366	0.96397895	0.89246112	0.97713053	1.0	1.0	0.98278111	1.0	1.0	1.0	1.0	1.0
"HPRR4320576"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320577"	0.78130996	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320570"	1.0	0.96870989	0.9966653	0.97595602	0.94727278	0.96924508	1.0	0.98139489	0.99179858	1.0	1.0	1.0
"HPRR4320571"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320572"	0.99207866	0.96870989	0.9966653	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.87071759	1.0
"HPRR4320573"	1.0	0.96870989	1.0	1.0	1.0	0.96924508	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320578"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR3790889"	7.6444849e-05	2.6383732e-05	0.00023186069	1.5503711e-05	7.0143687e-05	8.880832e-06	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR2310052"	1.0	1.0	8.0369444e-12	0.33338168	0.25273246	0.33739826	0.3196308	0.41088682	0.49893209	1.0	1.0	1.0
"HPRR4060158"	0.0033508118	0.010169247	0.0028537358	0.046354786	0.084061131	0.033197902	0.034936856	0.024569655	0.033566993	1.0	1.0	1.0
"HPRR3760765"	0.23694398	0.50937784	0.1839229	0.18359481	0.22986479	8.5064693e-07	1.0	0.11418209	0.31287628	1.0	0.94386566	1.0
"HPRR4350096"	1.8358865e-08	3.9014878e-05	1.3594826e-11	8.3463885e-05	3.7517722e-11	2.2517311e-12	1.0	0.97031593	1.0	1.0	1.0	1.0
"HPRR4310001"	0.99225855	0.94766194	0.9966653	0.97713053	0.94727278	0.96924508	1.0	0.97096384	1.0	1.0	1.0	1.0
"HPRR4320196"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.91943789	0.98144764	1.0
"HPRR4320197"	1.0	1.0	1.0	1.0	0.94727278	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320194"	1.0	1.0	1.0	1.0	1.0	0.96924508	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320195"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320192"	0.88936037	1.0	0.99106228	0.97713053	0.70087457	0.86719531	0.99080163	0.95959765	1.0	1.0	1.0	0.8701331
"HPRR4320193"	1.0	0.96800697	1.0	0.97713053	0.94727278	0.96924508	0.98302269	0.968849	1.0	1.0	1.0	1.0
"HPRR4320190"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320191"	0.72083092	1.0	1.0	1.0	0.94727278	1.0	1.0	1.0	0.97370303	0.7015149	0.9998669	1.0
"HPRR3770042"	0.99900073	0.96870989	0.0060858228	0.97713053	0.028122321	0.96924508	0.013222884	0.97010595	0.021741565	1.0	1.0	1.0
"HPRR4320198"	0.72529846	1.0	1.0	0.97713053	0.94727278	0.96505004	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320199"	0.99799961	0.96870989	1.0	1.0	0.60895675	0.96924508	1.0	1.0	1.0	1.0	0.90187436	0.93077123
"HPRR4320378"	0.4687179	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.97512805	1.0	1.0	1.0
"HPRR4320379"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.80879325	1.0	1.0	1.0
"HPRR4320376"	0.97495443	0.96869874	0.9966653	0.97713053	0.93199021	0.96924508	0.89906073	0.94006026	0.85496455	1.0	1.0	1.0
"HPRR4320377"	1.0	0.96333504	0.99561262	1.0	0.94727278	0.96924508	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320374"	1.0	1.0	1.0	1.0	0.94727278	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320375"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320373"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320370"	1.0	1.0	0.9966653	0.97713053	0.94744557	0.96924508	1.0	1.0	0.99179858	1.0	1.0	1.0
"HPRR4320371"	1.0	0.96870989	0.9966653	1.0	0.94727278	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320178"	1.0	0.96870989	1.0	0.97713053	1.0	0.96924508	1.0	0.93961298	1.0	0.57619417	1.0	1.0
"HPRR4320179"	1.0	0.96275616	0.9966653	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.87517858	0.95206738
"HPRR2440465"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4291008"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.99179858	0.29950854	0.20233801	1.0
"HPRR4320170"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320171"	0.98154765	0.9566294	1.0	1.0	0.94727278	0.96924508	0.97634155	0.95323068	0.97766566	1.0	0.98779428	1.0
"HPRR4320172"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320173"	0.95644397	0.94019341	0.97430736	1.0	0.94727278	0.96924508	1.0	1.0	1.0	0.9331888	1.0	1.0
"HPRR4320174"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320175"	0.99188626	0.95996922	0.9966653	1.0	1.0	0.96924424	1.0	1.0	0.9496882	1.0	1.0	1.0
"HPRR4320176"	0.92200023	1.0	0.9966653	1.0	0.94727278	1.0	1.0	1.0	0.99179858	1.0	1.0	1.0
"HPRR4320177"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320288"	1.0	1.0	0.9966653	0.97713053	0.94727278	0.96924508	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320289"	0.9886952	1.0	0.9966653	1.0	1.0	0.96924508	1.0	1.0	1.0	0.84188765	1.0	1.0
"HPRR4320282"	1.0	0.96870989	0.9966653	0.0034407561	0.0085365707	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320283"	0.68574148	0.94679314	0.73705006	0.97713053	0.89910609	0.76663399	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320280"	1.0	0.96322805	1.0	0.97713053	0.94727278	0.96924508	0.9297052	0.96962053	1.0	1.0	1.0	1.0
"HPRR4320281"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.81841975	1.0	1.0	1.0	1.0
"HPRR4320286"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.71669745	0.95917004	1.0	1.0	1.0
"HPRR4320287"	1.0	1.0	1.0	1.0	0.87945175	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320284"	1.0	1.0	0.98164803	1.0	0.94727278	0.96924508	1.0	1.0	1.0	0.86319613	0.92740744	1.0
"HPRR4320285"	1.0	0.96870989	0.9966653	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR3730312"	0.58717191	0.53148031	0.94392753	0.74299282	0.0012083185	0.96924508	0.8491239	0.0033942789	0.0070685567	1.0	1.0	1.0
"HPRR3730314"	0.0019879353	0.0008941823	0.0044063199	0.0025047148	0.0010245097	0.0011346199	0.014354213	0.033659868	0.0025314426	1.0	1.0	1.0
"HPRR4320149"	1.0	1.0	1.0	1.0	0.92388254	0.96924508	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320148"	0.98970985	1.0	1.0	1.0	0.80084044	1.0	0.82784456	1.0	0.9655757	1.0	1.0	1.0
"HPRR4320145"	1.0	0.96870989	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR1410031"	0.1422351	0.14297768	0.27628702	0.085086092	0.10682367	0.10329235	0.14655514	0.0096782017	0.22026289	1.0	1.0	1.0
"HPRR4320144"	1.0	0.96870989	0.9966653	0.97713053	0.94727278	1.0	1.0	0.87341928	1.0	1.0	1.0	1.0
"HPRR4320147"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.96799946	1.0	1.0	1.0	1.0
"HPRR4320146"	1.0	1.0	1.0	1.0	0.94727278	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4291010"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR3870078"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320142"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR290033"	0.9979555	0.75173885	1.0	0.034226786	0.94727278	0.033651583	0.00038205239	1.6460825e-05	1.0	1.0	1.0	1.0
"HPRR3950020"	0.13366213	0.14980218	0.00097698055	0.14565335	0.14825056	0.18692861	1.0	0.13205209	8.73225e-05	0.32938921	0.97621596	0.94517869
"HPRR370244"	9.8938537e-05	8.127305e-05	2.2943797e-05	0.95745629	1.0	1.0	0.10441449	0.37095857	4.34043e-05	1.0	1.0	1.0
"HPRR3950025"	0.87342924	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR2200011"	0.00313373	0.0032790697	0.014467342	0.064596847	0.011757361	0.0090492805	0.0059540793	0.0018805544	0.0075263935	1.0	1.0	1.0
"HPRR2810004"	0.98920941	0.96870989	0.43159541	0.30014369	0.16274264	0.38199952	0.11123777	0.31995079	0.28435719	1.0	1.0	1.0
"HPRR670317"	1.0	0.27003661	0.9966653	0.97713053	0.20949465	0.96924508	0.00065355952	0.16933502	0.00040935801	1.0	1.0	1.0
"HPRR3720023"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR232384"	2.7491294e-07	0.34730047	0.13090995	1.0	0.97455615	1.0	0.10655358	0.36122081	0.71399963	1.0	1.0	1.0
"HPRR2650003"	0.00011362287	0.96125859	0.014644512	1.0	1.0	1.0	1.0	0.0026236726	1.0	1.0	1.0	0.11528797
"HPRR340181"	1.0	1.0	1.0	1.0	1.0	0.96924508	0.91829705	2.7846038e-08	0.99179858	1.0	1.0	1.0
"HPRR540013"	0.17516328	3.3127193e-08	1.5658438e-09	0.89758098	0.94727278	0.96291256	0.13991016	0.37761837	7.6558653e-09	1.0	1.0	0.93378711
"HPRR540010"	0.036340374	0.012343947	0.020715879	0.96135712	0.94727278	0.9486565	0.00096691324	0.0011998783	0.0028614767	1.0	1.0	1.0
"HPRR1440139"	0.042238031	0.0082754241	0.01162032	1.0	1.0	1.0	0.014213737	0.026407769	0.029878696	1.0	1.0	1.0
"HPRR2760180"	0.66982943	0.00018176837	7.2244642e-05	1.0	1.0	1.0	9.5692722e-06	0.8122825	0.48695374	1.0	1.0	1.0
"HPRR1450363"	0.071538039	0.052847125	0.076382898	0.055481367	0.086188115	0.068878762	0.048126005	0.15739754	0.12574594	1.0	1.0	1.0
"HPRR4110213"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR3890095"	0.98614466	0.96869498	0.0007174731	0.00031806235	0.94727278	0.96924508	0.99053544	0.96808892	1.0	1.0	1.0	1.0
"HPRR2470377"	0.10668205	0.069705874	0.034804191	0.0033036475	0.0030006052	0.0061449381	0.010440562	0.014424684	0.0074030194	1.0	1.0	1.0
"HPRR4340041"	1.0	1.0	0.9966653	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR1900002"	3.7590911e-10	0.01305125	1.0	1.0	1.0	0.96924508	3.1211649e-09	6.4845708e-06	2.4190001e-08	1.0	1.0	1.0
"HPRR2250382"	1.0	1.0	1.0	0.96121526	1.0	1.0	1.0	1.0	0.0063542053	1.0	1.0	1.0
"HPRR1840184"	0.036511023	0.058047328	0.063659668	1.0	0.73894513	0.96924508	0.0018756374	0.0076256064	0.00049400824	1.0	1.0	1.0
